CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Análisis II/Matemática 3,,Turno 3,Miércoles,17:00,22:00,1,2,DM,De Napoli/Ceresa,2º cuatrimestre de 2025
Análisis II/Matemática 3,,Turno 2,Miércoles,9:00,14:00,1,3,DM,Maas/Guadalupe,2º cuatrimestre de 2025
Introducción al Modelado Continuo/Ecuaciones de la Física Matemática,,,Miércoles,14:00,18:00,1,3,DF,Fainstein,2º cuatrimestre de 2025
Optimización Aplicada a la Distribución Logística/Aplicación de Técnicas de Optimización a la Distribución Logística ,,,Miércoles,18:30,21:30,1,3,DC,Negrotto,3º bimestre de 2025
Álgebra Lineal,29/10/2025,,Miércoles,14:00,18:00,1,4,,,
Matemática I,,Turno B,Miércoles,17:00,22:00,1,5,DM,Armentano/Rodríguez Cartabia,2º cuatrimestre de 2025
Complementos de Análisis Funcional/Tópicos de Complementos de Análisis Funcional,,,Miércoles,15:00,18:00,1,6,DC,Carando,2º cuatrimestre de 2025
Grupos de Difeomorfismos/Difeomorfismos como Grupos de Lie/Frechet,,,Miércoles,14:00,17:00,1,7,DM,Larotonda,2º cuatrimestre de 2025
Física Teórica 3 ,,,Miércoles,9:00,14:00,1,8,DF,Perez Nadal/Zanguinetti,2º cuatrimestre de 2025
Mecánica y Termodinámica,NO 08/10/2025,,Miércoles,17:00,21:00,1,8,DF,Balenzuela/Cornes,2º cuatrimestre de 2025
Complejidad Computacional,08/10/2025,,Miércoles,17:00,21:00,1,8,,,
Matemática I ,,Turno A,Miércoles,9:00,14:00,1,9,DM,Rodríguez Cartabia/Kun,2º cuatrimestre de 2025
Física 4 ,,,Miércoles,17:00,22:00,1,9,DF,Tamborenea/Vigh,2º cuatrimestre de 2025
Introducción a la Computación e Información Cuántica/Teoría de la Computación e Información Cuántica ,,,Miércoles,13:00,16:00,1,E24,DM,Mansilla,2º cuatrimestre de 2025
Métodos Efectivos de Resolución de Polinomios,,,Miércoles,16:00,19:00,1,E24,DM,Krick,2º cuatrimestre de 2025
Climatología (ATMO890003),,,Miércoles,8:00,13:00,1,Labo 1,DCAO,Robleto/Ayala,2º cuatrimestre de 2025
Métodos Avanzados de Síntesis y Procesamiento de Imágenes/Procesamiento y Síntesis Avanzada Imágenes,8/10/2025,,Miércoles,13:00,17:00,1,Labo 1,DC,Acevedo,
"Infraestructura Tecnológica: Fundamentos, Gestión y Automatización / 4to.bimestre",NO17/11/2025 - 26/11/2025,,Miércoles,17:00,20:00,1,Labo 1,DC,Dunayevich,4º bimestre de 2025
Estadística para el Sistema Climático 1/Probabilidades y Estadística ,17/11/2025,,Miércoles,16:00,19:00,1,Labo 1,,,
Reserva Pickholz/Saragueta,26/11/2025,,Miércoles,13:00,18:00,1,Labo 1,,,
Pronóstico del Tiempo/Laboratorio de Pronóstico del Tiempo/Técnicas y metodologías para el pronóstico del tiempo – Módulo 1/Técnicas y metodologías para el pronóstico del tiempo – Módulo 2 ,,,Miércoles,8:00,13:00,1,Labo 2,DCAO,Mezher/Saucedo,3º bimestre de 2025
Química Física I,,,Miércoles,17:00,22:00,1,Labo 2,QI,,3º bimestre de 2025
"Infraestructura Tecnológica: Fundamentos, Gestión y Automatización / 4to.bimestre",17/11/2025 - 26/11/2025,,Miércoles,17:00,20:00,1,Labo 2,DC,Dunayevich,4º bimestre de 2025
Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II,Turno Mañana,,Miércoles,9:00,14:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,2º cuatrimestre de 2025
Summer school Deep Learning / secretaria.liaa,22/10/2025,,Miércoles,9:00,13:00,1,Magna,,,
Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II,,Turno Noche,Miércoles,17:00,22:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,2º cuatrimestre de 2025
