CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Conceptos y Técnicas de Biotecnología I,NO 07/10/2025,Teórico,Martes,17:00,20:00,0,1207,FBMC,D'alessio,2º cuatrimestre de 2025
Álgebra II/Tópicos de Álgebra II,,Teórico-Práctico,Martes,9:00,14:00,0,1208,DM,Cortiñas/Rufolo,2º cuatrimestre de 2025
Circuitos Neuronales y Comportamiento,,Teórico,Martes,14:00,17:00,0,1208,FBMC,Berón,2º cuatrimestre de 2025
Cálculo Avanzado,NO 14/07/2025,Teórico-Práctico,Martes,17:00,22:00,0,1208,DM,Suarez Alvarez/Frungillo,2º cuatrimestre de 2025
Bromatología,14/10/2025,,Martes,17:00,22:00,0,1208,,,
"Producir, Comunicar y Evaluar Textos Científicos: Teoría y Práctica de la Escritura de Papers",,,Martes,10:00,14:00,0,1209,CCPEMS,Aduriz/Williman,2º cuatrimestre de 2025
Microbiología de Alimentos,,,Martes,14:00,16:00,0,1209,,,
Probabilidades y Estadística,,Teórico-Práctico,Martes,17:00,22:00,0,1209,DM,Groisman/Figueroa,2º cuatrimestre de 2025
Genética ,,Práctica,Martes,9:00,13:00,0,1301,EGE,Andrioli,2º cuatrimestre de 2025
Genética ,,Práctica,Martes,13:00,17:00,0,1301,EGE,Andrioli,2º cuatrimestre de 2025
Genética ,,Práctica,Martes,17:00,21:00,0,1301,EGE,Andrioli,2º cuatrimestre de 2025
Evolución,,Teórico-Práctico,Martes,9:00,13:00,0,1302,EGE,Mahler,2º cuatrimestre de 2025
Evolución,,Teórico-Práctico,Martes,17:00,21:00,0,1302,EGE,Carreira,2º cuatrimestre de 2025
Aprendizaje Automático I / 2025/Introducción al Aprendizaje Automático I/Aprendizaje Automático II / 2025,,Teórico-Práctico,Martes,9:00,13:00,0,1303,DC,Brusco,2º cuatrimestre de 2025
Reserva Groisman a partir de octubre,,,Martes,13:00,17:00,0,1303,,,4º bimestre de 2025
Análisis Avanzado de Alimentos/Avances en Análisis de Alimentos,,Teórico-Práctico,Martes,17:00,20:00,0,1303,QO,Buera/Marino,3º bimestre de 2025
Análisis Topológico de Datos/Tópicos de Análisis Topológicos de Datos,,Teórico-Práctico,Martes,9:00,13:00,0,1304,DC,Cerdeiro,2º cuatrimestre de 2025
Electricidad Atmosférica/Elementos de Electromagnetismo en el Espacio y la Atmósfera,,Teórico-Práctico,Martes,14:00,19:00,0,1304,DCAO,Dasso,3º bimestre de 2025
Teoría de las Comunicaciones,,Teórico-Práctico,Martes,19:00,22:00,0,1304,DC,Righetti,2º cuatrimestre de 2025
Portugués II,,Teórico-Práctico,Martes,10:00,13:00,0,1305,SA,Melián,2º cuatrimestre de 2025
Ecología de Ambientes Marinos,,Teórico,Martes,14:00,16:00,0,1305,EGE,Capitanio,2º cuatrimestre de 2025
Ecología de Ambientes Marinos,07/10/2025,,Martes,15:00,19:00,0,1305,,,
Análisis de Datos Categóricos,07/10/2025,,Martes,17:00,21:00,0,1306,,,
Fitopatología/Actualizaciones en Fitopatología,14/10/2025,,Martes,14:00,17:30,0,1306,,,
Fundamentos de Lenguajes para Computación Cuántica,18/11/2025-25/11/2025,,Martes,14:00,18:00,0,1306,,,
II Jornadas Socioambientales,21/10/2025,,Martes,9:00,17:00,0,1307,,,
Taller Federico Robledo/Grillo,4/11/2025,,Martes,10:00,12:00,0,1307,,,
Taller Federico Robledo/Grillo,4/11/2025,,Martes,13:30,15:30,0,1307,,,
Temas de Nanofísica,,Teórico-Práctico,Martes,17:00,20:00,0,1307,DF,Llois,2º cuatrimestre de 2025
Tesis Laurino,14/10/2025,,Martes,10:00,12:00,0,1308,,,
Workshop Antinutrientes y microestructura de proteínas de origen vegetal,21/10/2025,,Martes,9:00,13:00,0,1308,,Martinez Ma.Julia,
Topología aplicada y análisis topológico de datos/La Topología de los Datos,,Teórico Práctico,Martes,15:00,18:00,0,1308,DM,Minian,2º cuatrimestre de 2025
Ingeniería Genética/Ingeniería Genética y Biología de Sistemas Moleculares,,Teórico,Martes,18:00,21:00,0,1308,FBMC,Colman,2º cuatrimestre de 2025
LAGOS 2025 (BONOMO),11/11/2025,,Martes,9:00,18:00,0,1308,,,
Química General e Inorgánica I/Química General,,Teórico-Práctico,Martes,9:00,12:30,0,1309,QI,,2º cuatrimestre de 2025
Química General e Inorgánica I/Química General,,Teórico-Práctico,Martes,13:30,17:00,0,1309,QI,,2º cuatrimestre de 2025
Química General e Inorgánica I/Química General,,Teórico-Práctico,Martes,17:30,21:00,0,1309,QI,,2º cuatrimestre de 2025
Física 1,07/10/2025-14/10/2025,,Martes,9:00,14:00,0,1401,,,
reserva Max Planck,07/10/2025,,Martes,16:00,22:00,0,1401,,,
Química Biológica ,07/10/2025-14/10/2025,,Martes,18:30,22:00,0,1401,,,
Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II,21/10/2025,Teórico,Martes,9:00,14:00,0,1401,DC,Feuerstein/Tcach/Uchitel,2º cuatrimestre de 2025
LAGOS 2025 (BONOMO),11/11/2025,,Martes,9:00,19:00,0,1401,,,
Reserva Pickholz/Saragueta,25/11/2025,,Martes,9:00,19:00,0,1401,,,
Phonons 2025 (Bragas) ,2/12/2025,,Martes,9:00,18:00,0,1401,,,
IBMC,07/10/2025-14/10/2025,,Martes,9:00,13:00,0,1402,,,
MAX PLANCK (Reservad Durán),7/10/2025,,Martes,14:00,20:00,0,1402,,,
Reuniòn Decano/DCAO,21/10/2025,,Martes,10:00,13:00,0,1402,,,
Reserva Weinberg/Slezak,28/10/2025,,Martes,9:00,14:00,0,1402,,,
LAGOS 2025 (BONOMO),11/11/2025,,Martes,9:00,18:00,0,1402,,,
Reserva WEINBERG-CYT-DURAN,25/11/2025,,Martes,9:00,17:00,0,1402,,,
Phonons 2025 (Bragas) ,2/12/2025,,Martes,9:00,18:00,0,1402,,,
Introducción a la Zoología/Biodiversidad de Animales ,,Teórico,Martes,9:00,12:00,0,1403,BBE,Genovese,2º cuatrimestre de 2025
Probabilidad/Probabilidades y Estadística,,Teórico-Práctico,Martes,14:00,19:00,0,1403,DM,Merzbacher/Fernández Vidal,2º cuatrimestre de 2025
LAGOS 2025 (BONOMO),11/11/2025,,Martes,9:00,18:00,0,1403,,,
MATEMAX 2025  (KRICK),16/12/2025,,Martes,9:00,18:00,0,1403,,,
Física 2,,Teórico-Práctico,Martes,9:00,14:00,1,2,DF,Arbo/Frank,2º cuatrimestre de 2025
Álgebra I ,NO 07/10/2025,Teórico-Práctico,Martes,14:00,19:00,1,2,DM,Sirolli/Menconi,2º cuatrimestre de 2025
Física 1 ,7/10/2025,Teórico-Práctico,Martes,17:00,22:00,1,2,DF,Capuzzi/Alonso,2º cuatrimestre de 2025
Estructura de la Materia 1 ,,Teórico-Práctico,Martes,9:00,12:00,1,3,DF,Dmitruk,2º cuatrimestre de 2025
Probabilidades y Estadística ,28/10/2025,,Martes,12:00,17:00,1,3,,,
Introducción a la Investigación Operativa y Optimización/Tópicos en Investigación Operativa,NO 07/10/2025,Teórico-Práctico,Martes,17:00,21:00,1,3,IC,Durán/Faillace,2º cuatrimestre de 2025
Conceptos y Técnicas de Biotecnología I,,Teórico,Martes,17:00,22:00,1,3,FBMC,D'alessio,2º cuatrimestre de 2025
Álgebra I ,,Teórico-Práctico,Martes,9:00,14:00,1,4,DM,Massri,2º cuatrimestre de 2025
Física 1 ,,Teórico-Práctico,Martes,17:00,22:00,1,4,DF,Capuzzi/Alonso,2º cuatrimestre de 2025
Mecánica y Termodinámica ,NO 14/10/2025,Teórico-Práctico,Martes,9:00,13:00,1,5,DF,Ventura/Arcodia,2º cuatrimestre de 2025
Análisis Numérico/Tópicos de Análisis Numérico,14/10/2025,Teórico,Martes,9:00,14:00,1,5,DM,Ojea/Mendiluce,2º cuatrimestre de 2025
Procesamiento de Lenguaje Natural/Procesamiento de Lenguaje Natural: Embeddings y Modelos Generativos,,Teórico-Práctico,Martes,17:00,21:00,1,5,DC,Del Corro,2º cuatrimestre de 2025
Análisis Numérico/Tópicos de Análisis Numérico,,Teórico,Martes,12:00,14:00,1,6,DM,Ojea/Mendiluce,2º cuatrimestre de 2025
Reunión DC,30/9/2025,,Martes,16:00,19:00,1,6,,,
Álgebras de Hopf: Anillo de Cohomología,,Teórico-Práctico,Martes,11:30,13:00,1,7,DM,Solotar,2º cuatrimestre de 2025
Homologia Persistente,,Teórico-Práctico,Martes,15:00,18:00,1,7,DM,Fernández Ximena,
Álgebra Lineal Computacional/Métodos Numéricos,NO 14/10/2025,Teórico,Martes,9:00,12:00,1,8,DC,Acevedo,2º cuatrimestre de 2025
Álgebra Lineal,14/10/2025,,Martes,9:00,14:00,1,8,,,
Física Teórica 2,,Teórico-Práctico,Martes,16:00,21:00,1,8,DF,Roncaglia/Paz/Ferro,2º cuatrimestre de 2025
Matemática 4/Análisis Matemático III,NO 07/10/2025,Teórico-Práctico,Martes,9:00,14:00,1,9,DM,Lederman,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II,7/10/2025,Teórico,Martes,9:00,14:00,1,9,DC,Feuerstein/Tcach/Uchitel,2º cuatrimestre de 2025
Álgebra Lineal Computacional/Métodos Numéricos,NO 14/10/2025,Teórico,Martes,17:00,20:00,1,9,DC,Acevedo,2º cuatrimestre de 2025
Cálculo Avanzado,14/10/2025,Teórico-Práctico,Martes,17:00,22:00,1,9,DM,Suarez Alvarez/Frungillo,2º cuatrimestre de 2025
Teoría de Números/Tópicos de Teoría de Números,,Teórico-Práctico,Martes,14:00,19:00,1,E24,DM,Walsh,2º cuatrimestre de 2025
Ecología de Paisajes y Regiones,30/9/2025,,Martes,14:00,21:00,1,Labo 1,,,
Regresión Lineal,7/10/2025,,Martes,17:00,21:00,1,Labo 1,,,
Análisis Numérico/Tópicos de Análisis Numérico,,PC,Martes,9:00,12:00,1,Labo 2,DM,Ojea/Mendiluce,2º cuatrimestre de 2025
Herramientas de visualización de datos,,PC,Martes,14:00,18:00,1,Labo 2,IC,,4º biimestre de 2025
Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II,NO 07/10/2025,Teórico,Martes,9:00,14:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,2º cuatrimestre de 2025
Matemática 4/Análisis Matemático III,07/10/2025,Parcial,Martes,9:00,14:00,1,Magna,DM,Lederman,2º cuatrimestre de 2025
Summer school Deep Learning / secretaria.liaa,21/10/2025,,Martes,9:00,17:00,1,Magna,,,
Algoritmos y Estructuras de Datos/Algoritmos y Estructuras de Datos II,,Teórico,Martes,17:00,22:00,1,Magna,DC,Feuerstein/Tcach/Uchitel,2º cuatrimestre de 2025
Análisis Avanzado,,Teórico-Práctico,Martes,9:00,13:00,2,5,DM,Turco/De Vita,2º cuatrimestre de 2025
Fundamentos de Biología Molecular y Fisiología Celular,,Teórico-Práctico,Martes,13:00,17:00,2,5,FBMC,Nadra,2º cuatrimestre de 2025
Álgebra I,NO07/10/2025,Teórico-Práctico,Martes,17:00,22:00,2,5,DM,Rodriguez/Freyre,2º cuatrimestre de 2025
Evolución,07/10/2025,Parcial,Martes,17:00,22:00,2,5,,,
Álgebra I,,Teórico-Práctico,Martes,9:00,14:00,2,6,DM,Pérez Millán,2º cuatrimestre de 2025
Paradigmas de Programación,NO07/10/2025,Práctica,Martes,17:00,22:00,2,6,DC,Cossio,2º cuatrimestre de 2025
Evolución,07/10/2025,Parcial,Martes,17:00,22:00,2,6,,,
Física 1,,Teórico-Práctico,Martes,9:00,14:00,2,12,DF,Amette/Andres,2º cuatrimestre de 2025
Ingeniería de Software/Ingeniería de Software I,,Teórico-Práctico,Martes,17:00,19:00,2,12,DC,Wilkinson,2º cuatrimestre de 2025
Didáctica Especial y Práctica de la Enseñanza II,,Teórico-Práctico,Martes,14:00,18:00,2,15,CCPEMS,González Galli/Pérez,2º cuatrimestre de 2025
Fitopatología/Actualizaciones en Fitopatología,,Teórico,Martes,11:00,13:00,2,111,BBE,Novas,2º cuatrimestre de 2025
Sistemática Teórica/Análisis Cladístico,,Teórico,Martes,14:00,16:00,2,111,EGE,Ramirez,2º cuatrimestre de 2025
Bromatología,,Teórico,Martes,17:30,21:30,2,111,QO,Amiano/Schebor,2º cuatrimestre de 2025
Circulación General/Procesos Atmosféricos y Oceánicos de Gran Escala/Procesos Dinámicos de Gran Escala en la Atmósfera,,Teórico,Martes,14:00,18:00,2,112,DCAO,Menéndez,2º cuatrimestre de 2025
Meteorología y Oceanografía Teórica ,,Teórico-Práctico,Martes,8:00,13:00,2,113,DCAO,Simionato/Kahl,2º cuatrimestre de 2025
Neurofisiología Integrativa/Neurobiología,,Teórico,Martes,14:00,17:00,2,113,FBMC,Delorenzi,2º cuatrimestre de 2025
Neurofisiología Integrativa/Neurobiología,04/11/2025-11/11/2025-25/11/2025,Seminario,Martes,17:00,21:00,2,113,FBMC,Delorenzi,2º cuatrimestre de 2025
Biología de la Conservación/Conservación de la Biodiversidad,,Teórico,Martes,14:00,16:00,2,114,EGE,Bilenca,2º cuatrimestre de 2025
Biología de la Conservación/Conservación de la Biodiversidad,,Práctica,Martes,17:00,20:00,2,114,EGE,Paris,2º cuatrimestre de 2025
Fisiología y Comportamiento de Insectos/Tópicos en Fisiología y Comportamiento de Insectos,,Teórico,Martes,10:00,12:30,2,115,BBE,Farina,2º cuatrimestre de 2025
Fisiología Fúngica/Fisiología y Biotecnología Fúngica,,Teórico,Martes,14:00,16:30,2,115,BBE,Iannone,2º cuatrimestre de 2025
Invertebrados II 2023 ,,Teórico,Martes,14:30,17:00,2,116,BBE,Mougaubure,2º cuatrimestre de 2025
Química Analítica ,,Teórico-Práctico,Martes,18:00,21:00,2,116,QI,Antontel/Battaglini,2º cuatrimestre de 2025
Procesos Atmosféricos en Pequeña Escala ,,Teórico-Práctico,Martes,8:00,13:00,2,117,DCAO,Gassmann/Burek,2º cuatrimestre de 2025
Modelos Numéricos ,,Teórico-Práctico,Martes,14:00,19:00,2,117,DCAO,Moreira/Dinapoli,2º cuatrimestre de 2025
Análisis Instrumental ,7/10/2025,Teórico,Martes,8:30,12:30,2,203,QO,Cabrera/Etchenique,2º cuatrimestre de 2025
Análisis Avanzado,,Teórico-Práctico,Martes,13:00,14:00,2,203,DM,Turco/De Vita,2º cuatrimestre de 2025
CBC (Dilella),,,Martes,16:00,18:00,2,203,,,
Análisis Instrumental ,,Teórico,Martes,18:00,20:00,2,203,QO,Cabrera/Etchenique,2º cuatrimestre de 2025
Álgebra Lineal ,NO 14/10/2025,Teórico-Práctico,Martes,9:00,14:00,2,207,DM,Solerno/Busolini,2º cuatrimestre de 2025
Mecanica y Termodinamica,14/10/2025,,Martes,9:00,14:00,2,207,,,
Análisis Avanzado ,,Teórico-Práctico,Martes,17:00,21:30,2,207,DM,Di Ioro/Herrera,2º cuatrimestre de 2025
Concurso DBBE,7/10/2025,,Martes,9:00,12:00,2,212,,,
Concurso DBBE,7/10/2025,,Martes,14:00,16:00,2,212,,,
Concurso DBBE,14/10/2025,,Martes,9:00,16:00,2,212,,,
Sistemática Teórica/Análisis Cladístico,,PC,Martes,9:00,13:00,2,Sala A,EGE,Gottlieb,2º cuatrimestre de 2025
Biología de la Conservación/Conservación de la Biodiversidad,4/11/2025-11/11/2025-18/11/2025,PC,Martes,17:00,20:00,2,Sala A,EGE,Paris,2º cuatrimestre de 2025
Neurofisiología Integrativa/Neurobiología,21/10/2025-28/10/2025,PC,Martes,17:00,21:00,2,Sala A,FBMC,Larrosa,
Convección y Fenómenos Severos 1/Dinámica de Tormentas Severas en Latitudes Medias,,PC,Martes,8:00,13:00,2,Sala B,DCAO,Salio/Cancelada,3º bimestre de 2025
Geología Regional,,PC,Martes,17:00,20:00,2,Sala B,DCG,,
Inmunometabolismo: Principios básicos (Pèrez Leiros),7/10/2025,,Martes,9:00,17:00,2,SEMINARIO,,,
Nomenclatura Zoológica,05/11/2025-11/11/2025,,Martes,9:00,17:30,2,SEMINARIO,,,
Fundamentos de Lenguajes para Computación Cuántica,18/11/2025-25/11/2025,,Martes,14:00,17:00,2,SEMINARIO,,,
Programa de Historia,,,Martes,17:00,22:00,2,SEMINARIO,,,
Álgebra I,07/10/2025,Parcial,Martes,7:00,13:00,2,Magna,,,
Álgebra I,07/10/2025,Parcial,Martes,13:00,18:00,2,Magna,,,
Paradigmas de Programación,07/10/2025,Parcial,Martes,18:00,22:00,2,Magna,,,
Álgebra Lineal Computacional,14/10/2025,Parcial,Martes,9:00,14:00,2,Magna,,,
Probabilidades y Estadìstica C,14/10/2025,Parcial,Martes,17:00,22:00,2,Magna,,,
Introducción a la Biología Molecular y Celular/Int.a la Biología Molecular para Paleontólogos ,NO07/10/2025-14/10/2025,Teórico,Martes,9:30,12:30,2,Magna,FBMC,Colman,2º cuatrimestre de 2025
Química Biológica ,NO07/10/2025-14/10/2025,Teórica,Martes,18:30,21:00,2,Magna,QB,Santos,2º cuatrimestre de 2025
Introducción a la Biología Molecular y Celular/Int.a la Biología Molecular para Paleontólogos ,NO30/9/2025-07/10/2025,Teórico,Martes,9:30,12:30,2,Magna,FBMC,Colman,2º cuatrimestre de 2025
Química Biológica ,NO30/9/2025-07/10/2025-14/10/2025,Teórica,Martes,18:30,21:00,2,Magna,QB,Santos,2º cuatrimestre de 2025
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Martes,7:00,10:00,2,101,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Martes,10:00,13:00,2,101,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Martes,14:00,17:00,2,101,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Martes,17:00,20:00,2,101,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,SILVA,Martes,20:00,23:00,2,101,CBC,,
(CBC)-QUIMICA-(05),,IDOYAGA,Martes,7:00,10:00,2,102,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Martes,10:00,13:00,2,102,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Martes,13:00,16:00,2,102,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Martes,17:00,20:00,2,102,CBC,,
(CBC)-QUIMICA-(05),,DI RISIO,Martes,7:00,10:00,2,103,CBC,,
(CBC)-QUIMICA-(05),,IDOYAGA,Martes,10:00,13:00,2,103,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,13:00,15:00,2,103,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,15:00,17:00,2,103,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,17:00,19:00,2,103,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,19:00,21:00,2,103,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,MIGUEL,Martes,7:00,9:00,2,104,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,9:00,11:00,2,104,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,11:00,13:00,2,104,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Martes,14:00,17:00,2,104,CBC,,
(CBC)-FISICA E INTRODUCCIÓN A LA BIOFISICA (53),,GHIRARDOSI,Martes,17:00,20:00,2,104,CBC,,
(CBC)-PSICOLOGIA,,STASIEJKO,Martes,7:00,9:00,2,107,CBC,,
(CBC)-PSICOLOGIA,,STASIEJKO,Martes,9:00,11:00,2,107,CBC,,
(CBC)-PSICOLOGIA,,STASIEJKO,Martes,11:00,13:00,2,107,CBC,,
(CBC)-FILOSOFIA,,CASTRO,Martes,13:00,15:00,2,107,CBC,,
(CBC)-FILOSOFIA,,CASTRO,Martes,15:00,17:00,2,107,CBC,,
(CBC)-BIOLOGIA E INTRODUCCIÓN A LA BIOLOGIA CELULAR (54),,TODARO,Martes,17:00,20:00,2,107,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,7:00,9:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,11:00,13:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,13:00,15:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,15:00,17:00,2,108,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,7:00,9:00,2,109,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,PARUELO,Martes,9:00,11:00,2,109,CBC,,
(CBC)-TRABAJO Y SOCIEDAD,,CAGNACCI,Martes,11:00,13:00,2,109,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,13:00,15:00,2,109,CBC,,
(CBC)-INT. AL PENSAMIENTO CIENTIFICO (40),,ARROCHE,Martes,15:00,17:00,2,109,CBC,,
