CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA
Quiero aplicar para una beca: Help!,,Teórico-Práctico,Viernes,10:30,12:00,0,1304,SA
Tesis Bolgiovanni ,19/09/2025,,Viernes,12:00,15:00,0,1304,
Complementos de Análisis Funcional/Tópicos de Complementos de Análisis Funcional ,,,Viernes,15:00,18:00,0,1304,DM
Neurobiología del Aprendizaje y la Memoria/Mecanismos de Memoria,,Teórico-Práctico,Viernes,18:00,22:00,0,1304,FBMC
Introducción al Aprendizaje Automático en Grafos - 2025,10/10/2025-17/10/2025-24/10/2025-31/10/2025-06/11/2025-13/11/2025-20/11/2025-27/11/2025,Teórico-Práctico,Viernes,9:00,11:00,0,1305,DC
Taller de Alemán 25B - a confirmar,,Teórico-Práctico,Viernes,11:30,13:00,0,1305,SA
Introducción a la Computación e Información Cuántica/Teoría de la Computación e Información Cuántica ,,Teórico-Práctico,Viernes,13:00,16:00,0,1305,DM
Análisis Avanzado de Alimentos/Avances en Análisis de Alimentos,,Teórico-Práctico,Viernes,17:00,22:00,0,1305,QO
Física del Plasma/Física de Plasmas,,Teórico,Viernes,10:00,14:00,0,1306,DF
Taller de Técnicas de Estudio,,,Viernes,14:30,17:00,0,1306,SEGB
Temas de Nanofísica,,Teórico-Práctico,Viernes,17:00,20:00,0,1306,DF
Inglés Elemental B - a confirmar,,Teórico-Práctico,Viernes,10:00,13:00,0,1307,SA
Práctica Social Educativa Ciencia a Mano,19/09/2025-26/09/2025-3/10/2025,,Viernes,16:00,19:00,0,1307,
Taller de Tesis II,,Teórico-Práctico,Viernes,19:00,22:00,0,1307,DATA
Fisiología Animal Comparada,NO 14/11/2025 ,Teórico,Viernes,10:00,12:00,0,1308,BBE
Física 2 ,,Teórico-Práctico,Viernes,17:00,22:00,0,1308,DF
LAGOS 2025 (BONOMO),14/11/2025,,Viernes,9:00,15:00,0,1308,
Evolución-Evolución para Paleontólogos,,Teórico,Viernes,9:30,12:30,0,1309,EGE
Introducción a la Biología Molecular y Celular ,,Teórico,Viernes,13:00,17:00,0,1309,FBMC
Física 4 ,,Teórico-Práctico,Viernes,17:00,22:00,0,1309,DF
Física 1,19/09/2025-10/10/2025,,Viernes,9:00,14:00,0,1401,
Charla de Anillado y Monitoreo Animal ,19/09/2025,,Viernes,16:00,20:00,0,1401,
Cuarta Jornada de Perspectivas Críticas en la Enseñanza de la Salud,03/10/2025,,Viernes,9:00,17:00,0,1401,
Aspectos Bioquímicos y Ecológicos del Virus del Dengue,17/10/2025,,Viernes,9:00,18:00,0,1401,
Summer school Deep Learning - secretaria.liaa,24/10/2025,,Viernes,9:00,17:00,0,1401,
Primer Encuentro sobre Racismo y Enseñanza de las Ciencias en Argentina,31/10/2025,,Viernes,16:00,20:00,0,1401,
LAGOS 2025 ,14/11/2025,,Viernes,9:00,15:00,0,1401,
RESERVA ALBERTO KORNBLIHTT,21/11/2025,,Viernes,13:00,17:00,0,1401,
XIV Conference on Quantum Foundations ,28/11/2025,,Viernes,8:30,18:30,0,1401,
Phonons 2025 ,05/12/2025,,Viernes,9:00,18:00,0,1401,
Jornada QB,12/12/2025,,Viernes,9:00,18:00,0,1401,
“salud y yerba mate por ahora” - Martín Williman - Logitech,19/09/2025,,Viernes,9:00,13:00,0,1402,
DATAME,19/09/2025,,Viernes,16:00,18:00,0,1402,
Charla CCCB (Zelaya),26/09/2025,,Viernes,13:00,15:00,0,1402,
Física 1,03/10/2025,,Viernes,9:00,14:00,0,1402,
Graduados de Física en el mercado laboral (minini),03/10/2025,,Viernes,17:00,20:00,0,1402,
Seminario de Inteligencia Artificial para el sector productivo (CICD),17/10/2025,,Viernes,9:00,13:00,0,1402,
Reserva Fita Borrell (DCAO),07/11/2025,,Viernes,8:00,20:00,0,1402,
LAGOS 2025 ,14/11/2025,,Viernes,9:00,15:00,0,1402,
Seminario de Inteligencia Artificial para el sector productivo (CICD),28/11/2025,,Viernes,9:00,13:00,0,1402,
Phonons 2025 ,05/12/2025,,Viernes,9:00,18:00,0,1402,
Química General e Inorgánica I/Química General ,NO 28/11/2025-05/12/2025,Teórico-Práctico,Viernes,9:00,12:30,0,1403,QI
Almacenamiento y Recuperación de la Información-Base de Datos ,19/09/2025,,Viernes,17:00,22:00,0,1403,DC
LAGOS 2025 ,14/11/2025,,Viernes,9:00,15:00,0,1403,
