CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE
Evolución ,,,Jueves,9:00,13:00,0,1302,EGE,Mahler
Análisis Matemático de Sist.Soc. Comp.,,,Jueves,14:00,16:00,0,1302,DM,Saintier
Evolución ,,,Jueves,17:00,21:00,0,1302,EGE,Carreira
Aprendizaje Automático II 2025,,,Jueves,9:00,13:00,0,1303,DC,Brusco
DOV - Charla Carrera - Cs.Físicas,16/10/2025,,Jueves,13:30,16:00,0,1303,,
Tópicos en Teoría de Control Óptimo,16/10/2025,,Jueves,10:00,12:00,0,1304,,
Tesis Fernandez Pinheiro,30/10/2025,,Jueves,10:30,13:00,0,1304,,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,1304,,
Electricidad Atmosférica,,,Jueves,14:00,19:00,0,1304,DCAO,Dasso
Data Mining en Economía y Finanzas ,,,Jueves,19:00,22:00,0,1304,DATA,
Historia de la Ciencia,,,Jueves,9:00,13:00,30/12/1899,1305,CCPEMS,Bifano
Ecología de Ambientes Marinos,,,Jueves,14:00,16:00,30/12/1899,1305,EGE,Capitanio
Ingeniería Genética,d21/10/2025,,Jueves,18:00,21:00,0,1305,FBMC,Colman
Microbiología de Alimentos,16/10/2025,,Jueves,14:00,16:00,0,29/07/1903,,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,1306,,
Semana de los profesorados ,13/11/2025,,Jueves,14:00,17:00,0,1306,,
Estadística/Int.Est.y Ciencia de Datos,,,Jueves,17:00,19:00,0,1306,IC,Valdora
CODA,16/10/2025,,Jueves,15:00,18:00,30/12/1899,1307,,
IBMC,23/10/2025,,Jueves,13:00,17:30,30/12/1899,1307,,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,30/12/1899,30/07/1903,,
Semana de los profesorados ,13/11/2025,,Jueves,14:00,17:00,30/12/1899,30/07/1903,,
LAGOS 2025 (BONOMO),13/11/2025,,Jueves,9:00,18:00,0,31/07/1903,,
Capacitación nodocente - Capeluto,27/11/2025,,Jueves,11:00,13:00,0,31/07/1903,,
Seguridad de la Información,,,Jueves,18:00,21:00,0,31/07/1903,DC,Baader
Química General /Qca.Gral.eInorgánica I,,T1,Jueves,9:00,12:30,0,01/08/1903,QI,
Química General /Qca.Gral.eInorgánica I,,T3,Jueves,13:30,17:00,0,01/08/1903,QI,
Química General /Qca.Gral.eInorgánica I,,T4,Jueves,17:30,21:00,0,01/08/1903,QI,
Reserva Miriam Gonzalez/Cardiff,16/10/2025,,Jueves,13:00,17:00,0,1401,,
Química Biológica  ,16/10/2025,,Jueves,18:30,22:00,0,1401,,
Algoritmos I/Int.Programación/Int.Comp.,23/10/2025,,Jueves,9:00,13:00,0,1401,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez
Algoritmos I/Int.Programación/Int.Comp.,23/10/2025,,Jueves,13:00,17:00,0,1401,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez
Historia de la Ciencia,23/10/2025,,Jueves,18:00,22:00,0,1401,,
Reserva Secretaria de Graudados ,30/10/2025,,Jueves,9:00,21:00,0,1401,,
"Geología, jornadas Extraterrestres",06/11/2025,,Jueves,9:00,17:00,0,1401,,
Proyección Los años azules,06/11/2025,,Jueves,17:00,20:00,0,1401,,
LAGOS 2025 ,13/11/2025,,Jueves,9:00,19:00,0,1401,,BONOMO
RESERVA ALBERTO KORNBLIHTT,20/11/2025,,Jueves,9:00,17:00,0,1401,,
XIV Conference on Quantum Foundations,27/11/2025,,Jueves,8:30,18:30,0,1401,,BOSKY
Phonons 2025 ,04/12/2025,,Jueves,9:00,18:00,0,1401,,
IBMC,16/10/2025,,Jueves,9:00,13:00,0,1402,,
Charla de formación Genética y DDHH,16/10/2025,,Jueves,17:00,21:00,0,1402,,
Reserva Weinberg,23/10/2025,,Jueves,9:30,14:00,0,1402,,
Reserva Fita Borrell (DCAO),06/11/2025,,Jueves,8:00,20:00,0,1402,,
LAGOS 2025 ,13/11/2025,,Jueves,9:00,18:00,0,1402,,BONOMO
Acto de COLACIÓN DE GRADO ,20/11/2025,,Jueves,12:00,15:00,0,1402,,
Guiudo Palazzo y la Industria Plástica ,27/11/2025,,Jueves,8:30,18:30,0,1402,,Weinberg
Phonons 2025 ,04/12/2025,,Jueves,9:00,18:00,0,1402,,
Introducción a la Zoología,NO 27/11/2025,,Jueves,9:00,12:00,0,1403,BBE,Genovese
ROUNA,27/11/2025,,Jueves,9:00,13:00,0,1403,,
Sistemas Operativos,,,Jueves,17:00,22:00,0,1403,DC,Fernández Slezak
DCAO Paola Salio,16/10/2025,,Jueves,11:00,13:00,0,2308,,
Matemática 2,,,Jueves,9:00,14:00,1,2,DM,Giaccobbe
Matemática 2,,,Jueves,14:00,19:00,1,2,DM,Mansilla
Taller de Cálculo Avanzado,,,Jueves,9:00,14:00,1,3,DM,Sánchez Fernández
Arq.y Org.Computadores/Organización II,,T2,Jueves,17:00,22:00,1,3,DC,Cervetto/Furfaro
Combinatoria ,,,Jueves,14:00,17:00,1,4,DM,Barmak
Paradigmas de Programación,30/10/2025,,Jueves,17:00,21:00,1,4,,
IO/IOO,30/10/2025,,Jueves,13:00,16:00,1,5,,
CC (Abriola),30/10/2025,,Jueves,16:00,18:00,1,5,,
Probabilidades y Estadística ,30/10/2025,,Jueves,9:00,12:00,1,6,,
Análisis Numérico,,,Jueves,12:00,14:00,1,6,DM,Ojea/Mendiluce
Laboratorio de Electrónica,,,Jueves,18:00,21:00,1,7,,Schmiegelow 
Mecánica Cláisca,,,Jueves,9:00,14:00,1,8,DF,Rodrigues Ferreira/Badia
Int. Modelado Continuo,,,Jueves,14:00,16:00,1,8,DF,Mindlin
Física Teórica 2 ,,,Jueves,16:00,21:00,1,8,DF,Roncaglia/Paz/Ferro
Sistemas Digitales/Organización I,,,Jueves,8:00,10:00,1,9,DC,Buemi
Sistemas Digitales/Organización I,,,Jueves,17:00,19:00,1,9,DC,Buemi
Grupos de Difeomorfismos,,,Jueves,13:00,16:00,1,E24,DM,Larotonda
Análisis Numérico,,,Jueves,9:00,12:00,1,Labo 1,DM,Ojea/Mendiluce
Herramientas de visualización de datos,13/11/2025,,Jueves,14:00,18:00,1,Labo 2,IC,
Algoritmos I/Int.Programación/Int.Comp.,NO23/10/2025,,Jueves,9:00,13:00,1,Magna,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez
Summer school Deep Learning ,23/10/2025,,Jueves,9:00,17:00,1,Magna,,
Algoritmos I/Int.Programación/Int.Comp.,NO23/10/2025,,Jueves,13:00,17:00,1,Magna,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez
Algoritmos I/Int.Programación/Int.Comp.,,,Jueves,17:00,22:00,1,Magna,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez
Física 3,,TA,Jueves,9:00,14:00,2,3,DF,Bertucci/Buccino
Análisis I/Matemática 1,,T1,Jueves,9:00,14:00,2,5,DM,Larotonda/Saintier/Slezak/Raffa
Análisis I/Matemática 1,,TT,Jueves,14:00,19:00,2,5,DM,Maas/Villafañe
Análisis I/Matemática 1,,T2,Jueves,9:00,14:00,2,6,DM,Larotonda/Saintier/Slezak/Raffa
Probabilidad/Probabilidades y Estadí.,,,Jueves,14:00,19:00,2,6,DM,Merzbacher/Fernández Vidal
Análisis Avanzado,,TM,Jueves,9:00,13:00,2,12,DM,Turco/De Vita
Análisis I/Matemática 1,,TN,Jueves,17:00,22:00,2,12,DM,Cesaratto/Honore
Didáctica General ,,,Jueves,9:00,15:00,2,15,CCPEMS,Schneider
Didáctica General ,,,Jueves,16:00,22:00,2,15,CCPEMS,Ziegler
Química Inorgánica 1,,T1,Jueves,9:00,13:00,2,111,QI,Di Salvo
Química Inorgánica 2 ,,T1,Jueves,13:00,15:00,2,111,QI,Baraldo
Química Inorgánica 2 ,,T2,Jueves,18:00,20:00,2,111,QI,Baraldo
Tecnología de Alimentos III,,,Jueves,14:00,18:00,2,112,QO,
Meteorología y Oceanografía Teórica,,,Jueves,8:00,13:00,2,113,DCAO,Simionato/Kahl
Neurofisiología Integrativa,,,Jueves,14:00,17:00,2,113,FBMC,Delorenzi
Biología de la Conservación,,,Jueves,14:00,16:00,2,114,EGE,Bilenca
Biología de la Conservación,,,Jueves,17:00,20:00,2,114,EGE,Paris
Fisiología y Comportamiento de Insectos,,,Jueves,10:00,12:30,2,115,BBE,Farina
Histología Animal,,,Jueves,14:00,16:00,2,115,BBE,Hermida
Genética y Ecología Molecular,,,Jueves,17:30,20:00,2,115,EGE,Confalonieri
Micología Avanzada,,,Jueves,10:00,13:00,2,116,BBE,Carmaran
Invertebrados II 2023,,,Jueves,14:30,17:00,2,116,BBE,Mougaubure
Química Analítica,,,Jueves,18:00,21:00,2,116,QI,Antontel/Battaglini
Procesos Atmosféricos en Pequeña Escala,,,Jueves,8:00,13:00,2,117,DCAO,Gassmann/Burek
Modelos Numéricos,,,Jueves,14:00,19:00,2,117,DCAO,Moreira/Dinapoli
Análisis Instrumental ,,T1,Jueves,8:30,12:30,2,203,QO,Cabrera/Etchenique
Análisis Instrumental ,,T2,Jueves,13:30,17:30,2,203,QO,Cabrera/Etchenique
Análisis Instrumental,,,Jueves,18:00,20:00,2,203,QO,Cabrera/Etchenique
Análisis Avanzado,,TN,Jueves,17:00,21:30,2,207,DM,Di Ioro/Herrera
Tecnología de Alimentos II ,,,Jueves,14:00,22:00,2,212,,
Levantamiento Geológic,,,Jueves,9:00,13:00,2,Sala A,,
Genética y Ecología Molecular,,,Jueves,14:00,17:00,2,Sala A,EGE,Confalonieri
Biología de la Conservación,6/11/2025-13/11/2025,,Jueves,17:00,20:00,2,Sala A,EGE,Paris
Levantamiento Geológico	,,,Jueves,9:00,16:00,2,Sala B,,
Química Inorgánica 1,,T2,Jueves,18:00,22:00,2,SEMINARIO,QI,Albores
Nomenclatura Zoológica,07/11/2025-13/11/2025,,Jueves,9:00,17:30,2,SEMINARIO,,
Fund.Lenguajes para Computación Cuántica,20/11/2025,,Jueves,14:00,18:00,2,SEMINARIO,,
Análisis Avanzado,16/10/2025,,Jueves,8:30,14:00,2,Magna,,
Int.a la Biología Molecular y Celular,NO16/10/2025,,Jueves,9:30,12:30,2,Magna,FBMC,Colman
Química Biológica ,,,Jueves,18:30,21:00,2,Magna,QB,Santos
ACTO DE COLACIÓN DE GRADO,30/10/2025,,Jueves,12:30,16:00,2,Magna,,
