CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Ecuaciones Diferenciales A-Ecuaciones Diferenciales B,,Teórico-Práctico,Miércoles,9:00,14:00,0,1204,DM,Fernandez Bonder/Ceresa,2º cuatrimestre de 2025
Redacción y Comunicación Científica (OSMAN) ,17/09/2025,,Miércoles,14:00,17:00,0,1204,DCAO,,
Electromagnetismo y Óptica ,,Teórico-Práctico,Miércoles,17:00,21:00,0,1204,DF,Pietrasanta/Gulisano,2º cuatrimestre de 2025
Ecología General ,,Práctica,Miércoles,9:00,13:00,0,1205,EGE,Courtalon,2º cuatrimestre de 2025
Ecología General ,,Práctica,Miércoles,18:00,22:00,0,1205,EGE,Cristiano,2º cuatrimestre de 2025
Ecología General ,,Práctica,Miércoles,9:00,13:00,0,1206,EGE,Burroni,2º cuatrimestre de 2025
Introducción al Modelado Continuo/Ecuaciones de la Física Matemática,,,Miércoles,14:00,18:00,0,1206,EGE,Fainstein,2º cuatrimestre de 2025
Ecología General ,,Práctica,Miércoles,18:00,22:00,0,1206,EGE,Santoandre,2º cuatrimestre de 2025
Química Física I ,,Teórico-Práctico,Miércoles,9:00,14:00,0,1207,QI,Castro,2º cuatrimestre de 2025
Meteorología General ,,Teórico-Práctico,Miércoles,14:00,19:00,0,1207,DCAO,Diaz/Burek,2º cuatrimestre de 2025
Teoría de las Comunicaciones,,Teórico-Práctico,Miércoles,19:00,22:00,0,1207,DC,Righetti,2º cuatrimestre de 2025
Matemática II,,Teórico,Miércoles,9:00,11:00,0,1208,DM,Stockdale,2º cuatrimestre de 2025
Química Orgánica 1,,Problemas,Miércoles,12:00,14:30,0,1208,QO,Di Chenna,2º cuatrimestre de 2025
Química Orgánica 1,,Teórico,Miércoles,15:00,17:00,0,1208,QO,Di Chenna,2º cuatrimestre de 2025
Matemática II,,Teórico,Miércoles,17:00,19:00,0,1208,DM,Suarez Alvarez,2º cuatrimestre de 2025
Vertebrados,,Teórico,Miércoles,9:30,12:30,0,1209,BBE,Faivovich,2º cuatrimestre de 2025
Ecología de Regiones y Paisajes ,24/09/2025,Parcial,Miércoles,13:00,17:00,0,1209,,,
Física II ,,Teórico-Práctico,Miércoles,17:00,21:00,0,1209,DF,Morales/Severino,2º cuatrimestre de 2025
Electromagnetismo y Óptica,,Teórico-Práctico,Miércoles,9:00,13:00,0,1301,DF,Estrada/Armaleo,2º cuatrimestre de 2025
Reserva Groisman a partir de octubre,,,Miércoles,13:00,17:00,0,1301,,,4º bimestre de 2025
Química Física II ,,Teórico-Práctico,Miércoles,17:00,22:00,0,1301,QI,Barja,2º cuatrimestre de 2025
Biometría II-Modelos Lineales Generales y Mixtos ,,Teórico,Miércoles,9:30,12:00,0,1302,EGE,Pérez,2º cuatrimestre de 2025
Evolución,,Teórico-Práctico,Miércoles,13:00,17:00,0,1302,EGE,Tropeira,2º cuatrimestre de 2025
Física Teórica 1,,Teórico-Práctico,Miércoles,17:00,22:00,0,1302,DF,Minini/Rubin,2º cuatrimestre de 2025
Climatología ,24/09/2025,Parcial,Miércoles,9:00,14:00,0,1303,,,
Reserva Pickholz/Saragueta,26/11/2025,,Miércoles,9:00,13:00,0,1303,,,
Teoría Cuántica de Campos-Teoría Cuántica de Campos,,Teórico-Práctico,Miércoles,14:00,19:00,0,1303,DF,Lombardo,2º cuatrimestre de 2025
Tesis de Licenciatura ,,,Miércoles,10:00,13:00,0,1304,IC,Farall,2º cuatrimestre de 2025
Neurobiología del Aprendizaje y la Memoria-Mecanismos de Memoria,,Teórico,Miércoles,14:00,17:00,0,1304,FBMC,Romano,2º cuatrimestre de 2025
Neurobiología del Aprendizaje y la Memoria-Mecanismos de Memoria,,Teórico-Práctico,Miércoles,18:00,22:00,0,1304,FBMC,Romano,2º cuatrimestre de 2025
SEMANA DE LA QUIMICA - TALLER 1,24/09/2025,,Miércoles,10:00,13:00,0,1305,,,
Introducción al Aprendizaje Automático en Grafos - 2025,08/10/2025-15/10/2025-22/10/2025-29/10/2025-05/11/2025-12/11/2025-19/11/2025-26/11/2025,Teórico-Práctico,Miércoles,9:00,13:00,0,1305,DC,Lombardi,4º bimestre
Química Orgánica 1,,Problemas,Miércoles,17:30,20:00,0,1305,QO,Di Chenna,2º cuatrimestre de 2025
Física del Plasma,,Práctica,Miércoles,10:00,14:00,0,1306,DF,Minotti/Xaubet,2º cuatrimestre de 2025
Química General e Inorgánica - Lucy Coria,08/10/2025,,Miércoles,14:00,16:00,0,1306,,,
LABI meeting 2025 (Pietrasanta),12/11/2025,,Miércoles,14:00,17:00,0,1306,,,
Procesamiento Digital de Geometría,,Teórico-Práctico,Miércoles,17:00,19:00,0,1306,DC,Taubin,3º bimestre de 2025
