CARTELERA PROVISORIA - 2025 - 2do cuatrimestre,,,,,,,,,,
Actividades,Turno,Clase,Día,Inicio,Fin,Pab.,Aula,RA,DOCENTE,
Biotecnología Vegetal/Biotecnología Agrícola ,,,Jueves,13:00,17:00,0,1205,FBMC,Capiati/Segretin,2º cuatrimestre de 2025
Estadística Computacional ,,,Jueves,17:00,22:00,0,1205,DC,Laje,2º cuatrimestre de 2025
Estadística 1+Estadística 2 ,,,Jueves,10:30,13:00,0,1206,IC,4to.bimestre-,2º cuatrimestre de 2025
Química Orgánica ,,Turno B2,Jueves,14:00,17:00,0,1206,QO,Duran Fernando,2º cuatrimestre de 2025
Química Orgánica ,,Turno C,Jueves,18:00,21:00,0,1206,QO,Duran Fernando,2º cuatrimestre de 2025
Química Orgánica ,,Turno A2,Jueves,9:00,12:00,0,1207,QO,Duran Fernando,2º cuatrimestre de 2025
Coloquio DM Ricardo Durán,02/10/2025,,Jueves,14:00,16:00,0,1207,,,
Coloquio DM ,16/10/2025,,Jueves,14:00,16:00,0,1207,,,
Semana de los profesorados / 2/3,13/11/2025,,Jueves,14:00,17:00,0,1207,,,
ROUNA,27/11/2025,,Jueves,14:00,17:00,0,1207,,,
Conceptos y Técnicas de Biotecnología I ,,,Jueves,17:00,20:00,0,1207,FBMC,D'alessio,2º cuatrimestre de 2025
Sinergias entre Verificación y Aprendizaje Automático / 2025,,,Jueves,9:30,12:30,0,1208,DC,Braberman,2º cuatrimestre de 2025
Reserva Identidad,11/09/2025,,Jueves,15:00,17:00,0,1208,,,
ROUNA,27/11/2025,,Jueves,14:00,17:00,0,1208,,,
Estructura de la Materia 3,,,Jueves,17:00,20:00,0,1208,DF,Alcoba,2º cuatrimestre de 2025
Tópicos Fundamentales de Teoría de Grafos/Fundamentos de Teoría de Grafos,,,Jueves,9:30,12:30,0,1209,DC,Bonomo,2º cuatrimestre de 2025
Fundamentos de Biología Molecular y Fisiología Celular,,Turno Tarde,Jueves,13:00,17:00,0,1209,FBMC,Nadra,2º cuatrimestre de 2025
Física 3,,Turno B,Jueves,17:00,22:00,0,1209,DF,Chernomoretz/Marques,2º cuatrimestre de 2025
Genética ,,Turno Mañana,Jueves,9:00,13:00,0,1301,EGE,Andrioli,2º cuatrimestre de 2025
Genética ,,Turno Tarde,Jueves,13:00,17:00,0,1301,EGE,Andrioli,2º cuatrimestre de 2025
Genética ,NO 28/08/2025,Turno Noche,Jueves,17:00,21:00,0,1301,EGE,Andrioli,2º cuatrimestre de 2025
Evolución ,,,Jueves,9:00,13:00,0,1302,EGE,Mahler,2º cuatrimestre de 2025
Análisis Matemático de Sistemas Sociales Complejos ,,,Jueves,14:00,16:00,0,1302,DM,Saintier,2º cuatrimestre de 2025
Evolución ,,,Jueves,17:00,21:00,0,1302,EGE,Carreira,2º cuatrimestre de 2025
Aprendizaje Automático I / 2025+Introducción al Aprendizaje Automático I+Aprendizaje Automático II / 2025,,,Jueves,9:00,13:00,0,1303,DC,Brusco,2º cuatrimestre de 2025
Estadística/Introducción a la Estadística y Ciencia de Datos/Tópicos de Estadística,,,Jueves,17:00,19:00,0,1303,IC,Valdora,2º cuatrimestre de 2025
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,1304,,,
Electricidad Atmosférica/Elementos de Electromagnetismo en el Espacio y la Atmósfera,,,Jueves,14:00,19:00,0,1304,DCAO,Dasso,3º bimestre de 2025
Data Mining en Economía y Finanzas (DATA),,,Jueves,19:00,22:00,0,1304,DATA,,2º cuatrimestre de 2025
Historia de la Ciencia,,,Jueves,9:00,13:00,0,1305,CCPEMS,Bifano,2º cuatrimestre de 2025
Ecología de Ambientes Marinos,,,Jueves,14:00,16:00,0,1305,EGE,Capitanio,2º cuatrimestre de 2025
Ingeniería Genética/Ingeniería Genética y Biología de Sistemas Moleculares,,desde 21/10,Jueves,18:00,21:00,0,1305,FBMC,Colman,2º cuatrimestre de 2025
Herramientas de Ciencia de Datos y Biologìa,02/10/2025,,Jueves,9:00,13:00,0,1306,,,
Prácticas Socieducativas - segb (Agostina Lucero),09/10/2025,,Jueves,10:00,13:00,0,1306,,,
Prácticas Socieducativas - segb (Agostina Lucero),16/10/2025,,Jueves,9:00,13:00,0,1306,,,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,1306,,,
Semana de los profesorados ,13/11/2025,,Jueves,14:00,17:00,0,1306,,,
Reserva Metallo-Donación Sangre,09/10/2025,,Jueves,9:00,15:00,0,1307,,,
Semana de los profesorados ,13/11/2025,,Jueves,10:00,13:00,0,1307,,,
Semana de los profesorados ,13/11/2025,,Jueves,14:00,17:00,0,1307,,,
Tesis Mariani Florencia,02/10/2025,,Jueves,10:00,12:00,0,1308,,,
LAGOS 2025 (BONOMO),13/11/2025,,Jueves,9:00,18:00,0,1308,,,
Capacitación nodocente - Capeluto,27/11/2025,,Jueves,11:00,13:00,0,1308,,,
Seguridad de la Información,,,Jueves,18:00,21:00,0,1308,DC,Baader,13/11-
Química General e Inorgánica I/Química General ,NO 09/10/2025,Turno 1,Jueves,9:00,12:30,0,1309,QI,,2º cuatrimestre de 2025
Estadística 1+Estadística 2 ,09/10/2025,,Jueves,9:00,13:00,0,1309,IC,,2º cuatrimestre de 2025
Química General e Inorgánica I/Química General ,NO 09/10/2025,Turno 3,Jueves,13:30,17:00,0,1309,QI,,2º cuatrimestre de 2025
Química General e Inorgánica I/Química General ,NO 09/10/2025,Turno 4,Jueves,17:30,21:00,0,1309,QI,,2º cuatrimestre de 2025
Química Inorgánica 1,09/10/2025,,Jueves,17:00,22:00,0,1309,QI,Albores,2º cuatrimestre de 2025
Reserva Grillo/Moreira,02/10/2025,,Jueves,9:00,10:00,0,1401,,,
Química Biológica  ,02/10/2025,,Jueves,18:30,22:00,0,1401,,,
Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación,09/10/2025,,Jueves,13:00,17:00,0,1401,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Química Biológica  ,09/10/2025,,Jueves,18:30,22:00,0,1401,,,
Reserva Miriam Gonzalez/Cardiff,16/10/2025,,Jueves,13:00,17:00,0,1401,,,
Química Biológica  ,16/10/2025,,Jueves,18:30,22:00,0,1401,,,
Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación,23/10/2025,Turno Mañana,Jueves,9:00,13:00,0,1401,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Algoritmos y Estructuras de Datos I/Introducción a la Programación/Introducción a la Computación,23/10/2025,Turno Mañana,Jueves,13:00,17:00,0,1401,DC,Urtasun/Zabala/Altauz/Di Piazza/Rodríguez,2º cuatrimestre de 2025
Historia de la Ciencia,23/10/2025,,Jueves,18:00,22:00,0,1401,,,
Reserva Secretaria de Graudados (talentos),30/10/2025,,Jueves,9:00,21:00,0,1401,,,
"Geología, jornadas Extraterrestres",06/11/2025,,Jueves,9:00,17:00,0,1401,,,
LAGOS 2025 ,13/11/2025,,Jueves,9:00,19:00,0,1401,,,
RESERVA ALBERTO KORNBLIHTT,20/11/2025,,Jueves,9:00,17:00,0,1401,,,
XIV Conference on Quantum Foundations BOSYK,27/11/2025,,Jueves,8:30,18:30,0,1401,,,
